SSID, BSS, RSSI, canal, hora
"INFINITUM0296_5", "D4:63:FE:BE:A6:E3", "-95", "100", "10:15:00"
"", "5C:E9:31:E5:BB:B2", "-89", "2", "10:14:16"
"", "5C:E9:31:E5:BB:B2", "-89", "2", "10:14:19"
"", "5C:E9:31:E5:BB:B2", "-89", "2", "10:14:21"
"", "5C:E9:31:E5:BB:B2", "-89", "2", "10:14:23"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:26"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:28"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:31"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:33"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:35"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:38"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:40"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:43"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:45"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:48"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:50"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:53"
"", "5C:E9:31:E5:BB:B2", "-90", "2", "10:14:55"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:19"
"", "C2:B1:01:FF:F7:C4", "-90", "153", "10:14:21"
"", "C2:B1:01:FF:F7:C4", "-90", "153", "10:14:23"
"", "C2:B1:01:FF:F7:C4", "-90", "153", "10:14:26"
"", "C2:B1:01:FF:F7:C4", "-90", "153", "10:14:28"
"", "C2:B1:01:FF:F7:C4", "-90", "153", "10:14:31"
"", "C2:B1:01:FF:F7:C4", "-90", "153", "10:14:33"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:35"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:38"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:40"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:43"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:45"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:48"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:50"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:53"
"", "C2:B1:01:FF:F7:C4", "-88", "153", "10:14:55"
"", "C2:B1:01:FF:F7:C4", "-92", "153", "10:14:57"
"", "C2:B1:01:FF:F7:C4", "-92", "153", "10:15:00"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-93", "11", "10:14:40"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-93", "11", "10:14:43"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-90", "11", "10:14:45"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-89", "11", "10:14:48"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-89", "11", "10:14:50"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-89", "11", "10:14:53"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-89", "11", "10:14:55"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-89", "11", "10:14:57"
"IZZI-47DE", "A4:98:13:64:BB:9F", "-89", "11", "10:15:00"
"", "62:45:B7:5C:61:94", "-84", "165", "10:14:09"
"", "62:45:B7:5C:61:94", "-92", "165", "10:14:11"
"", "62:45:B7:5C:61:94", "-92", "165", "10:14:14"
"", "62:45:B7:5C:61:94", "-94", "165", "10:14:16"
"", "62:45:B7:5C:61:94", "-94", "165", "10:14:19"
"", "62:45:B7:5C:61:94", "-94", "165", "10:14:21"
"", "62:45:B7:5C:61:94", "-94", "165", "10:14:23"
"", "62:45:B7:5C:61:94", "-94", "165", "10:14:26"
"", "62:45:B7:5C:61:94", "-94", "165", "10:14:28"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:31"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:33"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:35"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:38"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:40"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:43"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:45"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:48"
"", "62:45:B7:5C:61:94", "-88", "165", "10:14:50"
"", "62:45:B7:5C:61:94", "-86", "165", "10:14:53"
"", "62:45:B7:5C:61:94", "-89", "165", "10:14:55"
"", "62:45:B7:5C:61:94", "-93", "165", "10:14:57"
"", "62:45:B7:5C:61:94", "-93", "165", "10:15:00"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-83", "4", "10:14:11"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-83", "4", "10:14:14"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-80", "4", "10:14:16"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-80", "4", "10:14:19"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-80", "4", "10:14:21"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-80", "4", "10:14:23"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-83", "4", "10:14:26"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-83", "4", "10:14:28"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-80", "4", "10:14:31"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-80", "4", "10:14:33"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-78", "4", "10:14:35"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-78", "4", "10:14:38"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-84", "4", "10:14:40"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-84", "4", "10:14:43"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-84", "4", "10:14:45"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-78", "4", "10:14:48"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-78", "4", "10:14:50"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-78", "4", "10:14:53"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-75", "4", "10:14:55"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-75", "4", "10:14:57"
"IZZI-F07C", "5C:A4:F4:02:F0:7C", "-81", "4", "10:15:00"
